date,hour,area,status,latitude,longitude,data_source,road_corridor,location,direction,lane,day_of_week,has_disruption,disruption_type,disruption_description,month,day_of_month,is_weekend,time_category,status_encoded,is_rush_hour,is_peak_am,is_peak_pm,is_holiday,avg_volume,total_volume,volume_count,status_lag_1h,status_lag_2h,status_lag_3h,status_lag_24h,volume_rolling_avg_3h,volume_rolling_avg_6h,volume_rolling_avg_24h
2024-01-01,6,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,morning_rush,0,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,7,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,morning_rush,0,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,8,Turbina,moderate,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,morning_rush,1,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,9,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,morning,0,0,0,0,1,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,10,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,morning,0,0,0,0,1,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,11,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,morning,0,0,0,0,1,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-01,12,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,lunch,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,13,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,lunch,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,14,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,afternoon,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,15,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,afternoon,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,16,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,afternoon,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,17,Turbina,light,14.1856736,121.1367344,Real,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,evening_rush,0,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,18,Turbina,light,14.1856736,121.1367344,Real,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,evening_rush,0,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,19,Turbina,light,14.1856736,121.1367344,Real,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,evening_rush,0,1,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,20,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,night,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,21,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Monday,1,roadwork,Concreting of Road,1,1,0,night,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,6,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Tuesday,1,roadwork,Concreting of Road,1,2,0,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,7,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,0.0,Tuesday,1,roadwork,Concreting of Road,1,2,0,morning_rush,0,1,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
