roadwork_id,disruption_type,area,date_start,date_end,description,road_corridor
1,roadwork,Pansol,2024-11-14,2024-11-16,rotomilling works,Calamba_Pagsanjan
2,roadwork,Bucal,2024-10-14,2024-10-14,road reblocking,Calamba_Pagsanjan
3,roadwork,Crossing,2024-02-16,2024-02-17,asphalt overlay,Calamba_Pagsanjan
3,roadwork,Halang,2024-02-16,2024-02-17,asphalt overlay,Calamba_Pagsanjan
3,roadwork,Bucal,2024-02-16,2024-02-17,asphalt overlay,Calamba_Pagsanjan
3,roadwork,Pansol,2024-02-16,2024-02-17,asphalt overlay,Calamba_Pagsanjan
3,roadwork,Bagong Kalsada,2024-02-16,2024-02-17,asphalt overlay,Calamba_Pagsanjan
4,incident,Turbina,2025-04-18,2025-04-18,Engine failure,Maharlika_Turbina
5,incident,Turbina,2025-04-19,2025-04-19,mechanical failure,Maharlika_Turbina
6,weather,Crossing,2025-09-26,2025-09-27,Flood,Calamba_Pagsanjan
6,weather,Halang,2025-09-26,2025-09-27,Flood,Calamba_Pagsanjan
6,weather,Bucal,2025-09-26,2025-09-27,Flood,Calamba_Pagsanjan
6,weather,Pansol,2025-09-26,2025-09-27,Flood,Calamba_Pagsanjan
6,weather,Bagong Kalsada,2025-09-26,2025-09-27,Flood,Calamba_Pagsanjan
7,incident,Milagrosa,2025-10-03,2025-10-03,Stalled truck,Maharlika_Turbina
8,roadwork,Halang,2025-09-30,2025-09-30,road maintenance,Calamba_Pagsanjan
9,roadwork,Halang,2025-09-30,2025-09-30,Water pipeline maintenance,Calamba_Pagsanjan
10,incident,Milagrosa,2025-09-29,2025-09-29,Stalled truck,Maharlika_Turbina
10,incident,Real,2025-09-29,2025-09-29,Stalled truck,Maharlika_Turbina
11,accident,Pansol,2025-09-23,2025-09-23,Multiple vehicle collision,Calamba_Pagsanjan
12,roadwork,Turbina,2025-09-18,2025-09-18,drainage repair,Maharlika_Turbina
13,incident,Real,2025-09-17,2025-09-17,Stalled truck,Maharlika_Turbina
14,roadwork,Parian,2025-09-15,2025-09-15,road maintenance,Maharlika_Parian
15,incident,Real,2025-09-12,2025-09-12,Stalled truck,Maharlika_Turbina
16,accident,Bucal,2025-09-07,2025-09-07,Road Crash,Calamba_Pagsanjan
17,roadwork,Parian,2025-09-05,2025-09-05,road maintenance,Maharlika_Parian
18,roadwork,Bucal,2025-09-05,2025-09-05,road excavation,Calamba_Pagsanjan
19,roadwork,Real,2025-09-04,2025-09-04,Repainting of pavement markings,Maharlika_Turbina
20,incident,Milagrosa,2025-08-31,2025-08-31,Oil spill,Maharlika_Turbina
21,roadwork,Bucal,2025-08-30,2025-08-30,road excavation,Calamba_Pagsanjan
22,roadwork,Parian,2025-08-29,2025-08-29,road excavation,Maharlika_Parian
23,roadwork,Turbina,2025-08-28,2025-08-28,Meralco line work,Maharlika_Turbina
24,accident,Milagrosa,2025-08-27,2025-08-27,Multiple vehicle collision,Maharlika_Turbina
25,roadwork,Parian,2025-08-22,2025-08-22,drainage repair,Maharlika_Parian
26,roadwork,Parian,2025-08-22,2025-08-22,road excavation,Maharlika_Parian
27,roadwork,Milagrosa,2025-09-21,2025-09-21,Meralco line work,Maharlika_Turbina
28,incident,Milagrosa,2025-09-20,2025-09-20,Stalled truck,Maharlika_Turbina
29,accident,Real,2025-09-19,2025-09-19,Multiple vehicle collision,Maharlika_Turbina
30,incident,Parian,2025-09-19,2025-09-19,Stalled truck,Maharlika_Parian
31,incident,Turbina,2025-09-18,2025-09-18,Stalled truck,Maharlika_Turbina
32,roadwork,Turbina,2025-09-17,2025-09-17,Cleaning Operation,Maharlika_Turbina
33,roadwork,Turbina,2025-09-18,2025-09-26,Bridge rehabilitation,Maharlika_Turbina
33,roadwork,Real,2025-09-18,2025-09-26,Bridge rehabilitation,Maharlika_Turbina
34,accident,Parian,2025-09-11,2025-09-11,Road Crash,Maharlika_Parian
35,accident,Pansol,2025-09-09,2025-09-09,Multiple vehicle collision,Calamba_Pagsanjan
36,accident,Halang,2025-09-09,2025-09-09,Road Crash,Calamba_Pagsanjan
37,roadwork,Bagong Kalsada,2025-09-06,2025-09-06,deep excavation,Calamba_Pagsanjan
38,accident,Real,2025-09-06,2025-09-06,Road Crash,Maharlika_Turbina
39,accident,Milagrosa,2025-10-06,2025-10-06,Road Crash,Maharlika_Turbina
