date,hour,day_of_week,area,status,latitude,longitude,data_source,road_corridor,dpwh_location,total_volume,dpwh_direction,dpwh_day_of_week,is_peak_am_time,is_peak_pm_time,has_disruption,disruption_id,disruption_type,disruption_area,disruption_description,disruption_start,disruption_end,has_real_status,has_imputed_status,has_volume_data,data_completeness_score
2024-01-01,6,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,6,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,6,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,7,Monday,Bucal,moderate,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,7,Monday,Parian,moderate,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,7,Monday,Turbina,moderate,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,8,Monday,Bucal,moderate,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,8,Monday,Parian,moderate,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,8,Monday,Turbina,moderate,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,9,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,9,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,9,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,10,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,10,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,10,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,11,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,11,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,11,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,12,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,12,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,12,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,13,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,13,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,13,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,14,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,14,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,14,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,15,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,15,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,15,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,16,Monday,Bucal,light,14.1894221,121.1691458,Imputed,Calamba_Pagsanjan,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,16,Monday,Parian,light,14.2137169,121.1510244,Imputed,Maharlika_Parian,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,16,Monday,Turbina,light,14.1856736,121.1367344,Imputed,Maharlika_Turbina,,,,,,,0,,,,,,,0,1,0,0
2024-01-01,17,Monday,Bucal,heavy,14.1894221,121.1691458,Real,Calamba_Pagsanjan,,,,,,,0,,,,,,,1,0,0,1
2024-01-01,17,Monday,Parian,light,14.2137169,121.1510244,Real,Maharlika_Parian,,,,,,,0,,,,,,,1,0,0,1
2024-01-01,17,Monday,Turbina,light,14.1856736,121.1367344,Real,Maharlika_Turbina,,,,,,,0,,,,,,,1,0,0,1
2024-01-01,18,Monday,Bucal,heavy,14.1894221,121.1691458,Real,Calamba_Pagsanjan,,,,,,,0,,,,,,,1,0,0,1
2024-01-01,18,Monday,Parian,light,14.2137169,121.1510244,Real,Maharlika_Parian,,,,,,,0,,,,,,,1,0,0,1
2024-01-01,18,Monday,Turbina,light,14.1856736,121.1367344,Real,Maharlika_Turbina,,,,,,,0,,,,,,,1,0,0,1
2024-01-01,19,Monday,Bucal,heavy,14.1894221,121.1691458,Real,Calamba_Pagsanjan,,,,,,,0,,,,,,,1,0,0,1
2024-01-01,19,Monday,Parian,light,14.2137169,121.1510244,Real,Maharlika_Parian,,,,,,,0,,,,,,,1,0,0,1
